Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$25,000 under $50,000",11507," 10,548 ", 523 
"$50,000 under $75,000",11507," 17,511 ", 467 
"$75,000 under $100,000",11507," 21,339 ", 387 
"$100,000 under $200,000",11507," 72,692 ", 784 
"$200,000 or more",11507," 154,662 ", 410 
,,,
,11509," 218,218 "," 1,430 "
"Under $10,000",11509, 92 , 273 
"$10,000 under $25,000",11509, 794 , 164 
"$25,000 under $50,000",11509," 3,224 ", 174 
"$50,000 under $75,000",11509," 5,303 ", 153 
"$75,000 under $100,000",11509," 6,272 ", 124 
"$100,000 under $200,000",11509," 24,924 ", 275 
"$200,000 or more",11509," 177,610 ", 267 
,,,
,11510," 703,924 "," 16,478 "
"Under $10,000",11510, 838 ," 2,575 "
"$10,000 under $25,000",11510," 12,377 "," 2,510 "
"$25,000 under $50,000",11510," 58,651 "," 3,169 "
"$50,000 under $75,000",11510," 90,051 "," 2,511 "
"$75,000 under $100,000",11510," 98,269 "," 1,874 "
"$100,000 under $200,000",11510," 286,962 "," 3,199 "
"$200,000 or more",11510," 156,776 ", 640 
,,,
,11514," 114,168 "," 2,484 "
"Under $10,000",11514, 189 , 380 
"$10,000 under $25,000",11514," 2,077 ", 358 
"$25,000 under $50,000",11514," 11,069 ", 520 
"$50,000 under $75,000",11514," 15,905 ", 398 
"$75,000 under $100,000",11514," 16,568 ", 281 
"$100,000 under $200,000",11514," 43,211 ", 451 
"$200,000 or more",11514," 25,149 ", 96 
,,,
,11516," 276,475 "," 3,297 "
"Under $10,000",11516, 191 , 599 
"$10,000 under $25,000",11516," 1,962 ", 450 
"$25,000 under $50,000",11516," 10,460 ", 564 
"$50,000 under $75,000",11516," 16,566 ", 436 
"$75,000 under $100,000",11516," 18,820 ", 338 
"$100,000 under $200,000",11516," 51,868 ", 557 
"$200,000 or more",11516," 176,609 ", 353 
,,,
,11518," 332,449 "," 5,537 "
"Under $10,000",11518, 317 , 857 
"$10,000 under $25,000",11518," 4,029 ", 788 
"$25,000 under $50,000",11518," 20,110 ", 984 
"$50,000 under $75,000",11518," 34,077 ", 867 
"$75,000 under $100,000",11518," 37,590 ", 674 
"$100,000 under $200,000",11518," 96,698 "," 1,016 "
"$200,000 or more",11518," 139,629 ", 351 
,,,
,11520," 599,122 "," 21,857 "
"Under $10,000",11520, 746 ," 3,725 "
"$10,000 under $25,000",11520," 23,984 "," 5,634 "
"$25,000 under $50,000",11520," 96,395 "," 5,382 "
"$50,000 under $75,000",11520," 103,171 "," 2,889 "
"$75,000 under $100,000",11520," 91,532 "," 1,706 "
"$100,000 under $200,000",11520," 191,833 "," 2,170 "
"$200,000 or more",11520," 91,461 ", 351 
,,,
,11530," 2,082,925 "," 13,924 "
"Under $10,000",11530," 1,319 "," 2,543 "
"$10,000 under $25,000",11530," 7,153 "," 1,270 "
"$25,000 under $50,000",11530," 33,838 "," 1,656 "
"$50,000 under $75,000",11530," 57,559 "," 1,499 "
"$75,000 under $100,000",11530," 65,246 "," 1,187 "
"$100,000 under $200,000",11530," 280,146 "," 2,908 "
"$200,000 or more",11530," 1,637,665 "," 2,861 "
,,,
,11542," 709,869 "," 13,150 "
"Under $10,000",11542, 678 ," 2,346 "
"$10,000 under $25,000",11542," 12,021 "," 2,648 "
"$25,000 under $50,000",11542," 56,808 "," 2,886 "
"$50,000 under $75,000",11542," 67,797 "," 1,760 "
"$75,000 under $100,000",11542," 65,784 "," 1,146 "
"$100,000 under $200,000",11542," 158,138 "," 1,654 "
"$200,000 or more",11542," 348,643 ", 710 
,,,
,11545," 1,135,044 "," 6,302 "
"Under $10,000",11545, 907 ," 1,415 "
"$10,000 under $25,000",11545," 4,001 ", 629 
"$25,000 under $50,000",11545," 15,391 ", 755 
"$50,000 under $75,000",11545," 22,229 ", 615 
"$75,000 under $100,000",11545," 23,966 ", 446 
"$100,000 under $200,000",11545," 99,855 "," 1,083 "
"$200,000 or more",11545," 968,693 "," 1,359 "
,,,
,11547," 25,491 ", 503 
"Under $10,000",11547, 25 , 84 
"$10,000 under $25,000",11547, 252 , 65 
"$25,000 under $50,000",11547," 1,902 ", 96 
"$50,000 under $75,000",11547," 2,686 ", 66 
"$75,000 under $100,000",11547," 3,095 ", 55 
"$100,000 under $200,000",11547," 10,427 ", 106 
"$200,000 or more",11547," 7,104 ", 31 
,,,
,11548," 54,311 ", 755 
"Under $10,000",11548, 56 , 155 
"$10,000 under $25,000",11548, 698 , 119 
"$25,000 under $50,000",11548," 2,685 ", 134 
"$50,000 under $75,000",11548," 3,060 ", 79 
"$75,000 under $100,000",11548," 3,351 ", 58 
"$100,000 under $200,000",11548," 11,292 ", 127 
"$200,000 or more",11548," 33,168 ", 83 
,,,
,11550," 508,570 "," 24,540 "
"Under $10,000",11550, 640 ," 4,497 "
"$10,000 under $25,000",11550," 30,214 "," 7,436 "
"$25,000 under $50,000",11550," 118,671 "," 6,756 "
"$50,000 under $75,000",11550," 98,975 "," 2,824 "
"$75,000 under $100,000",11550," 76,202 "," 1,441 "
"$100,000 under $200,000",11550," 119,986 "," 1,401 "
"$200,000 or more",11550," 63,882 ", 185 
,,,
,11551," 14,080 ", 689 
"Under $10,000",11551, 13 , 119 
"$10,000 under $25,000",11551, 917 , 186 
"$25,000 under $50,000",11551," 4,331 ", 236 
"$50,000 under $75,000",11551," 4,061 ", 102 
"$75,000 under $100,000",11551," 1,620 ", 26 
"$100,000 under $200,000",11551," 3,137 ", 20 
"$200,000 or more",11551, . , * 
,,,
,11552," 532,233 "," 12,022 "
"Under $10,000",11552, 694 ," 1,992 "
"$10,000 under $25,000",11552," 10,139 "," 1,981 "
"$25,000 under $50,000",11552," 47,535 "," 2,534 "
"$50,000 under $75,000",11552," 63,045 "," 1,728 "
"$75,000 under $100,000",11552," 69,736 "," 1,296 "
"$100,000 under $200,000",11552," 177,771 "," 1,962 "
"$200,000 or more",11552," 163,314 ", 529 
,,,
,11553," 272,811 "," 12,598 "
"Under $10,000",11553, 434 ," 2,060 "
"$10,000 under $25,000",11553," 14,812 "," 3,349 "
"$25,000 under $50,000",11553," 63,819 "," 3,731 "
"$50,000 under $75,000",11553," 60,799 "," 1,812 "
"$75,000 under $100,000",11553," 41,693 ", 800 
"$100,000 under $200,000",11553," 66,466 ", 778 
"$200,000 or more",11553," 24,788 ", 68 
,,,
,11554," 848,966 "," 18,646 "
"Under $10,000",11554," 1,240 "," 2,995 "
"$10,000 under $25,000",11554," 15,224 "," 2,929 "
"$25,000 under $50,000",11554," 69,590 "," 3,608 "
"$50,000 under $75,000",11554," 103,046 "," 2,714 "
"$75,000 under $100,000",11554," 112,750 "," 2,035 "
"$100,000 under $200,000",11554," 337,607 "," 3,594 "
"$200,000 or more",11554," 209,509 ", 771 
,,,
,11557," 562,890 "," 4,258 "
"Under $10,000",11557, 693 , 945 
"$10,000 under $25,000",11557," 2,924 ", 489 
"$25,000 under $50,000",11557," 10,173 ", 541 
"$50,000 under $75,000",11557," 16,930 ", 449 
"$75,000 under $100,000",11557," 19,517 ", 372 
"$100,000 under $200,000",11557," 71,135 ", 781 
"$200,000 or more",11557," 441,518 ", 681 
,,,
,11558," 183,510 "," 4,135 "
"Under $10,000",11558, 197 , 656 
"$10,000 under $25,000",11558," 3,411 ", 718 
"$25,000 under $50,000",11558," 16,531 ", 864 
"$50,000 under $75,000",11558," 22,703 ", 581 
"$75,000 under $100,000",11558," 26,278 ", 461 
"$100,000 under $200,000",11558," 66,039 ", 707 
"$200,000 or more",11558," 48,351 ", 148 
,,,
,11559," 647,939 "," 3,834 "
"Under $10,000",11559, 807 , 957 
"$10,000 under $25,000",11559," 2,627 ", 519 
"$25,000 under $50,000",11559," 9,294 ", 497 
"$50,000 under $75,000",11559," 14,653 ", 400 
"$75,000 under $100,000",11559," 14,896 ", 278 
"$100,000 under $200,000",11559," 38,602 ", 437 
"$200,000 or more",11559," 567,059 ", 746 
,,,
,11560," 613,512 "," 3,573 "
"Under $10,000",11560, 420 , 746 
"$10,000 under $25,000",11560," 2,482 ", 447 
"$25,000 under $50,000",11560," 11,078 ", 580 
"$50,000 under $75,000",11560," 14,125 ", 371 
"$75,000 under $100,000",11560," 14,555 ", 269 
"$100,000 under $200,000",11560," 50,077 ", 549 
"$200,000 or more",11560," 520,775 ", 611 
,,,
,11561," 1,146,596 "," 19,421 "
"Under $10,000",11561, 761 ," 2,908 "
"$10,000 under $25,000",11561," 13,279 "," 2,646 "
"$25,000 under $50,000",11561," 77,259 "," 3,648 "
"$50,000 under $75,000",11561," 133,165 "," 3,229 "
"$75,000 under $100,000",11561," 140,592 "," 2,347 "
"$100,000 under $200,000",11561," 334,353 "," 3,443 "
"$200,000 or more",11561," 447,188 "," 1,200 "
,,,
,11563," 528,914 "," 11,104 "
"Under $10,000",11563, 585 ," 1,817 "
"$10,000 under $25,000",11563," 7,993 "," 1,615 "
"$25,000 under $50,000",11563," 41,393 "," 2,023 "
"$50,000 under $75,000",11563," 69,114 "," 1,750 "
"$75,000 under $100,000",11563," 68,904 "," 1,214 "
"$100,000 under $200,000",11563," 208,664 "," 2,193 "
"$200,000 or more",11563," 132,260 ", 492 
,,,
,11565," 275,178 "," 4,679 "
"Under $10,000",11565, 265 , 692 
"$10,000 under $25,000",11565," 3,155 ", 567 
"$25,000 under $50,000",11565," 14,491 ", 728 
"$50,000 under $75,000",11565," 26,065 ", 681 
"$75,000 under $100,000",11565," 28,664 ", 514 
"$100,000 under $200,000",11565," 109,726 "," 1,141 "
"$200,000 or more",11565," 92,813 ", 356 
,,,
,11566," 1,339,909 "," 17,972 "
"Under $10,000",11566," 1,602 "," 3,145 "
"$10,000 under $25,000",11566," 11,151 "," 1,981 "
"$25,000 under $50,000",11566," 52,473 "," 2,621 "
"$50,000 under $75,000",11566," 80,516 "," 2,176 "
"$75,000 under $100,000",11566," 97,370 "," 1,793 "
"$100,000 under $200,000",11566," 401,660 "," 4,262 "
"$200,000 or more",11566," 695,136 "," 1,994 "
,,,
,11568," 731,657 "," 1,883 "
"Under $10,000",11568, 413 , 484 
"$10,000 under $25,000",11568," 1,602 ", 205 
"$25,000 under $50,000",11568," 3,502 ", 171 
"$50,000 under $75,000",11568," 4,669 ", 127 
"$75,000 under $100,000",11568," 3,878 ", 82 
"$100,000 under $200,000",11568," 16,808 ", 218 
"$200,000 or more",11568," 700,784 ", 596 
,,,
,11569," 79,102 ", 845 
"Under $10,000",11569, 64 , 141 
"$10,000 under $25,000",11569, 583 , 105 
"$25,000 under $50,000",11569," 1,971 ", 103 
"$50,000 under $75,000",11569," 3,521 ", 98 
"$75,000 under $100,000",11569," 5,329 ", 99 
"$100,000 under $200,000",11569," 19,441 ", 196 
"$200,000 or more",11569," 48,193 ", 103 
,,,
,11570," 1,293,577 "," 13,720 "
"Under $10,000",11570," 1,142 "," 2,572 "
"$10,000 under $25,000",11570," 8,274 "," 1,694 "
"$25,000 under $50,000",11570," 41,899 "," 2,033 "
"$50,000 under $75,000",11570," 63,718 "," 1,611 "
"$75,000 under $100,000",11570," 68,449 "," 1,230 "
"$100,000 under $200,000",11570," 247,506 "," 2,557 "
"$200,000 or more",11570," 862,589 "," 2,023 "
,,,
,11572," 874,530 "," 15,747 "
"Under $10,000",11572," 1,064 "," 2,727 "
"$10,000 under $25,000",11572," 10,727 "," 2,111 "
"$25,000 under $50,000",11572," 48,917 "," 2,564 "
"$50,000 under $75,000",11572," 78,869 "," 2,084 "
"$75,000 under $100,000",11572," 101,366 "," 1,844 "
"$100,000 under $200,000",11572," 324,594 "," 3,420 "
"$200,000 or more",11572," 308,993 ", 997 
,,,
,11575," 150,421 "," 7,958 "
"Under $10,000",11575, 208 ," 1,369 "
"$10,000 under $25,000",11575," 8,976 "," 2,253 "
"$25,000 under $50,000",11575," 41,109 "," 2,352 "
"$50,000 under $75,000",11575," 35,660 "," 1,049 "
"$75,000 under $100,000",11575," 26,415 ", 516 
"$100,000 under $200,000",11575," 32,664 ", 393 
"$200,000 or more",11575," 5,388 ", 26 
,,,
,11576," 1,178,690 "," 6,611 "
"Under $10,000",11576, 957 ," 1,512 "
"$10,000 under $25,000",11576," 3,398 ", 557 
"$25,000 under $50,000",11576," 11,156 ", 588 
"$50,000 under $75,000",11576," 19,874 ", 589 
"$75,000 under $100,000",11576," 21,585 ", 452 
"$100,000 under $200,000",11576," 100,628 "," 1,137 "
"$200,000 or more",11576," 1,021,091 "," 1,776 "
,,,
,11577," 649,999 "," 6,004 "
"Under $10,000",11577, 667 ," 1,288 "
"$10,000 under $25,000",11577," 3,011 ", 603 
"$25,000 under $50,000",11577," 13,967 ", 787 
"$50,000 under $75,000",11577," 22,460 ", 637 
"$75,000 under $100,000",11577," 26,217 ", 501 
"$100,000 under $200,000",11577," 102,825 "," 1,117 "
"$200,000 or more",11577," 480,851 "," 1,071 "
,,,
,11579," 274,722 "," 2,557 "
"Under $10,000",11579, 153 , 494 
"$10,000 under $25,000",11579," 1,457 ", 290 
"$25,000 under $50,000",11579," 7,988 ", 392 
"$50,000 under $75,000",11579," 11,127 ", 292 
"$75,000 under $100,000",11579," 13,826 ", 252 
"$100,000 under $200,000",11579," 47,598 ", 496 
"$200,000 or more",11579," 192,574 ", 341 
,,,
,11580," 710,808 "," 19,599 "
"Under $10,000",11580, 827 ," 2,970 "
"$10,000 under $25,000",11580," 16,607 "," 3,467 "
"$25,000 under $50,000",11580," 82,049 "," 4,410 "
"$50,000 under $75,000",11580," 112,664 "," 3,180 "
"$75,000 under $100,000",11580," 114,615 "," 2,179 "
"$100,000 under $200,000",11580," 264,531 "," 2,983 "
"$200,000 or more",11580," 119,515 ", 410 
,,,
,11581," 533,450 "," 10,240 "
"Under $10,000",11581, 634 ," 1,766 "
"$10,000 under $25,000",11581," 6,656 "," 1,432 "
"$25,000 under $50,000",11581," 34,246 "," 1,830 "
"$50,000 under $75,000",11581," 54,202 "," 1,484 "
"$75,000 under $100,000",11581," 60,527 "," 1,120 "
"$100,000 under $200,000",11581," 185,175 "," 1,987 "
"$200,000 or more",11581," 192,010 ", 621 
,,,
,11582," 7,151 ", 264 
"Under $10,000",11582, -   , 34 
"$10,000 under $25,000",11582, 228 , 47 
"$25,000 under $50,000",11582," 1,511 ", 78 
"$50,000 under $75,000",11582," 2,280 ", 59 
"$75,000 under $100,000",11582," 1,327 ", 25 
"$100,000 under $200,000",11582," 1,804 ", 21 
"$200,000 or more",11582, . , * 
,,,
,11590," 847,905 "," 22,680 "
"Under $10,000",11590, 951 ," 3,767 "
"$10,000 under $25,000",11590," 22,623 "," 5,092 "
"$25,000 under $50,000",11590," 93,905 "," 5,299 "
"$50,000 under $75,000",11590," 105,553 "," 2,901 "
"$75,000 under $100,000",11590," 100,878 "," 1,829 "
"$100,000 under $200,000",11590," 279,352 "," 2,981 "
"$200,000 or more",11590," 244,642 ", 811 
,,,
,11596," 387,022 "," 5,340 "
"Under $10,000",11596, 417 , 906 
"$10,000 under $25,000",11596," 3,600 ", 648 
"$25,000 under $50,000",11596," 17,113 ", 812 
"$50,000 under $75,000",11596," 28,096 ", 710 
"$75,000 under $100,000",11596," 30,267 ", 531 
"$100,000 under $200,000",11596," 114,723 "," 1,202 "
"$200,000 or more",11596," 192,805 ", 531 
,,,
,11598," 836,470 "," 6,084 "
"Under $10,000",11598, 876 ," 1,422 "
"$10,000 under $25,000",11598," 2,956 ", 585 
"$25,000 under $50,000",11598," 13,622 ", 758 
"$50,000 under $75,000",11598," 20,149 ", 560 
"$75,000 under $100,000",11598," 24,979 ", 490 
"$100,000 under $200,000",11598," 101,219 "," 1,095 "
"$200,000 or more",11598," 672,668 "," 1,174 "
,,,
,11690," 5,264 ", 325 
"Under $10,000",11690, -   , 71 
"$10,000 under $25,000",11690, 352 , 84 
"$25,000 under $50,000",11690," 2,075 ", 108 
"$50,000 under $75,000",11690," 1,974 ", 48 
"$75,000 under $100,000",11690, 863 , 14 
"$100,000 under $200,000",11690, . , * 
"$200,000 or more",11690, . , * 
,,,
,11691," 379,112 "," 20,552 "
"Under $10,000",11691, 572 ," 4,576 "
"$10,000 under $25,000",11691," 21,608 "," 6,063 "
"$25,000 under $50,000",11691," 103,765 "," 5,784 "
"$50,000 under $75,000",11691," 78,112 "," 2,183 "
"$75,000 under $100,000",11691," 52,599 ", 967 
"$100,000 under $200,000",11691," 68,961 ", 813 
"$200,000 or more",11691," 53,496 ", 166 
,,,
,11692," 120,655 "," 7,468 "
"Under $10,000",11692, 160 ," 1,552 "
"$10,000 under $25,000",11692," 7,659 "," 2,190 "
"$25,000 under $50,000",11692," 41,720 "," 2,334 "
"$50,000 under $75,000",11692," 29,910 ", 825 
"$75,000 under $100,000",11692," 17,324 ", 312 
"$100,000 under $200,000",11692," 19,774 ", 234 
"$200,000 or more",11692," 4,107 ", 21 
,,,
,11693," 149,987 "," 5,423 "
"Under $10,000",11693, 132 , 940 
"$10,000 under $25,000",11693," 4,595 "," 1,147 "
"$25,000 under $50,000",11693," 30,484 "," 1,485 "
"$50,000 under $75,000",11693," 35,035 ", 890 
"$75,000 under $100,000",11693," 28,359 ", 488 
"$100,000 under $200,000",11693," 40,337 ", 447 
"$200,000 or more",11693," 11,045 ", 26 
,,,
,11694," 519,001 "," 8,531 "
"Under $10,000",11694, 468 ," 1,366 "
"$10,000 under $25,000",11694," 6,613 "," 1,329 "
"$25,000 under $50,000",11694," 36,573 "," 1,739 "
"$50,000 under $75,000",11694," 53,206 "," 1,290 "
"$75,000 under $100,000",11694," 55,113 ", 928 
"$100,000 under $200,000",11694," 133,390 "," 1,401 "
"$200,000 or more",11694," 233,637 ", 478 
,,,
,11697," 133,507 "," 2,211 "
"Under $10,000",11697, 74 , 318 
"$10,000 under $25,000",11697," 1,608 ", 279 
"$25,000 under $50,000",11697," 8,472 ", 368 
"$50,000 under $75,000",11697," 16,339 ", 376 
"$75,000 under $100,000",11697," 17,379 ", 276 
"$100,000 under $200,000",11697," 46,084 ", 448 
"$200,000 or more",11697," 43,552 ", 146 
,,,
,11701," 420,565 "," 13,315 "
"Under $10,000",11701, 461 ," 2,054 "
"$10,000 under $25,000",11701," 14,248 "," 3,103 "
"$25,000 under $50,000",11701," 65,336 "," 3,547 "
"$50,000 under $75,000",11701," 67,987 "," 1,883 "
"$75,000 under $100,000",11701," 60,803 "," 1,108 "
"$100,000 under $200,000",11701," 120,914 "," 1,314 "
"$200,000 or more",11701," 90,816 ", 306 
,,,
,11702," 460,732 "," 7,592 "
"Under $10,000",11702, 452 ," 1,216 "
"$10,000 under $25,000",11702," 5,417 "," 1,028 "
"$25,000 under $50,000",11702," 25,277 "," 1,230 "
"$50,000 under $75,000",11702," 41,831 "," 1,081 "
"$75,000 under $100,000",11702," 50,134 ", 884 
"$100,000 under $200,000",11702," 150,198 "," 1,588 "
"$200,000 or more",11702," 187,424 ", 565 
,,,
,11703," 326,087 "," 8,997 "
"Under $10,000",11703, 390 ," 1,280 "
"$10,000 under $25,000",11703," 7,457 "," 1,496 "
"$25,000 under $50,000",11703," 41,211 "," 2,074 "
"$50,000 under $75,000",11703," 55,253 "," 1,473 "
"$75,000 under $100,000",11703," 58,297 "," 1,074 "
"$100,000 under $200,000",11703," 131,755 "," 1,470 "
"$200,000 or more",11703," 31,725 ", 130 
,,,
,11704," 640,087 "," 19,311 "
"Under $10,000",11704, 832 ," 2,907 "
"$10,000 under $25,000",11704," 17,408 "," 3,498 "
"$25,000 under $50,000",11704," 92,553 "," 4,669 "
"$50,000 under $75,000",11704," 119,018 "," 3,186 "
"$75,000 under $100,000",11704," 116,187 "," 2,115 "
"$100,000 under $200,000",11704," 238,779 "," 2,700 "
"$200,000 or more",11704," 55,310 ", 236 
,,,
,11705," 239,672 "," 3,895 "
"Under $10,000",11705, 209 , 637 
"$10,000 under $25,000",11705," 2,911 ", 494 
"$25,000 under $50,000",11705," 12,137 ", 592 
"$50,000 under $75,000",11705," 19,452 ", 516 
"$75,000 under $100,000",11705," 23,268 ", 432 
"$100,000 under $200,000",11705," 88,603 ", 941 
"$200,000 or more",11705," 93,091 ", 283 
,,,
,11706," 946,566 "," 29,620 "
"Under $10,000",11706," 1,151 "," 4,684 "
"$10,000 under $25,000",11706," 33,728 "," 7,083 "
"$25,000 under $50,000",11706," 140,035 "," 7,832 "
"$50,000 under $75,000",11706," 145,684 "," 4,079 "
"$75,000 under $100,000",11706," 135,030 "," 2,527 "
"$100,000 under $200,000",11706," 256,919 "," 2,917 "
"$200,000 or more",11706," 234,019 ", 498 
,,,
,11709," 224,592 "," 3,472 "
"Under $10,000",11709, 278 , 629 
"$10,000 under $25,000",11709," 2,269 ", 439 
"$25,000 under $50,000",11709," 10,983 ", 560 
"$50,000 under $75,000",11709," 17,581 ", 457 
"$75,000 under $100,000",11709," 22,451 ", 390 
"$100,000 under $200,000",11709," 69,220 ", 725 
"$200,000 or more",11709," 101,810 ", 272 
,,,
,11710," 1,013,018 "," 17,338 "
"Under $10,000",11710," 1,239 "," 3,002 "
"$10,000 under $25,000",11710," 11,305 "," 2,152 "
"$25,000 under $50,000",11710," 58,278 "," 2,879 "
"$50,000 under $75,000",11710," 90,541 "," 2,404 "
"$75,000 under $100,000",11710," 104,780 "," 1,925 "
"$100,000 under $200,000",11710," 361,277 "," 3,811 "
"$200,000 or more",11710," 385,598 "," 1,165 "
,,,
,11713," 194,944 "," 4,913 "
"Under $10,000",11713, 205 , 782 
"$10,000 under $25,000",11713," 4,947 ", 948 
"$25,000 under $50,000",11713," 22,683 "," 1,182 "
"$50,000 under $75,000",11713," 26,390 ", 705 
"$75,000 under $100,000",11713," 28,350 ", 504 
"$100,000 under $200,000",11713," 62,467 ", 660 
"$200,000 or more",11713," 49,902 ", 132 
,,,
,11714," 503,215 "," 12,095 "
"Under $10,000",11714, 789 ," 1,976 "
"$10,000 under $25,000",11714," 9,612 "," 1,894 "
"$25,000 under $50,000",11714," 49,604 "," 2,416 "
"$50,000 under $75,000",11714," 71,747 "," 1,839 "
"$75,000 under $100,000",11714," 75,870 "," 1,360 "
"$100,000 under $200,000",11714," 208,681 "," 2,262 "
"$200,000 or more",11714," 86,912 ", 348 
,,,
,11715," 128,256 "," 2,286 "
"Under $10,000",11715, 156 , 377 
"$10,000 under $25,000",11715," 1,638 ", 266 
"$25,000 under $50,000",11715," 6,718 ", 351 
"$50,000 under $75,000",11715," 10,600 ", 287 
"$75,000 under $100,000",11715," 16,433 ", 301 
"$100,000 under $200,000",11715," 54,437 ", 583 
"$200,000 or more",11715," 38,274 ", 121 
,,,
,11716," 233,803 "," 5,385 "
"Under $10,000",11716, 343 , 815 
"$10,000 under $25,000",11716," 4,713 ", 833 
"$25,000 under $50,000",11716," 22,960 "," 1,103 "
"$50,000 under $75,000",11716," 33,446 ", 851 
"$75,000 under $100,000",11716," 33,371 ", 601 
"$100,000 under $200,000",11716," 93,777 "," 1,006 "
"$200,000 or more",11716," 45,193 ", 176 
,,,
,11717," 462,961 "," 28,265 "
"Under $10,000",11717, 731 ," 4,470 "
"$10,000 under $25,000",11717," 40,186 "," 9,426 "
"$25,000 under $50,000",11717," 141,547 "," 8,639 "
"$50,000 under $75,000",11717," 107,246 "," 3,271 "
"$75,000 under $100,000",11717," 71,823 "," 1,386 "
"$100,000 under $200,000",11717," 87,232 "," 1,018 "
"$200,000 or more",11717," 14,197 ", 55 
,,,
,11718," 156,571 "," 1,669 "
"Under $10,000",11718, 97 , 264 
"$10,000 under $25,000",11718, 785 , 161 
"$25,000 under $50,000",11718," 5,096 ", 239 
"$50,000 under $75,000",11718," 7,798 ", 198 
"$75,000 under $100,000",11718," 8,539 ", 163 
"$100,000 under $200,000",11718," 37,455 ", 389 
"$200,000 or more",11718," 96,800 ", 255 
,,,
,11719," 81,856 "," 1,608 "
"Under $10,000",11719, 62 , 245 
"$10,000 under $25,000",11719," 1,155 ", 215 
"$25,000 under $50,000",11719," 6,525 ", 325 
"$50,000 under $75,000",11719," 8,315 ", 221 
"$75,000 under $100,000",11719," 11,280 ", 205 
"$100,000 under $200,000",11719," 30,989 ", 321 
"$200,000 or more",11719," 23,530 ", 76 
,,,
,11720," 566,046 "," 14,109 "
"Under $10,000",11720, 919 ," 2,311 "
"$10,000 under $25,000",11720," 13,573 "," 2,382 "
"$25,000 under $50,000",11720," 54,127 "," 2,822 "
"$50,000 under $75,000",11720," 74,490 "," 2,039 "
"$75,000 under $100,000",11720," 87,788 "," 1,640 "
"$100,000 under $200,000",11720," 231,086 "," 2,590 "
"$200,000 or more",11720," 104,063 ", 325 
,,,
,11721," 308,055 "," 3,115 "
"Under $10,000",11721, 291 , 515 
"$10,000 under $25,000",11721," 1,502 ", 289 
"$25,000 under $50,000",11721," 8,576 ", 426 
"$50,000 under $75,000",11721," 13,082 ", 344 
"$75,000 under $100,000",11721," 16,988 ", 307 
"$100,000 under $200,000",11721," 72,914 ", 756 
"$200,000 or more",11721," 194,703 ", 478 
,,,
,11722," 347,491 "," 16,609 "
"Under $10,000",11722, 491 ," 2,580 "
"$10,000 under $25,000",11722," 20,957 "," 4,734 "
"$25,000 under $50,000",11722," 79,670 "," 4,710 "
"$50,000 under $75,000",11722," 77,086 "," 2,249 "
"$75,000 under $100,000",11722," 65,700 "," 1,226 "
"$100,000 under $200,000",11722," 90,722 "," 1,053 "
"$200,000 or more",11722," 12,865 ", 57 
,,,
,11724," 368,896 "," 1,803 "
"Under $10,000",11724, 343 , 464 
"$10,000 under $25,000",11724, 945 , 146 
"$25,000 under $50,000",11724," 4,901 ", 233 
"$50,000 under $75,000",11724," 4,049 ", 114 
"$75,000 under $100,000",11724," 4,127 ", 83 
"$100,000 under $200,000",11724," 23,244 ", 265 
"$200,000 or more",11724," 331,287 ", 498 
,,,
,11725," 847,732 "," 14,268 "
"Under $10,000",11725, 965 ," 2,461 "
"$10,000 under $25,000",11725," 8,955 "," 1,774 "
"$25,000 under $50,000",11725," 41,848 "," 2,193 "
"$50,000 under $75,000",11725," 67,555 "," 1,836 "
"$75,000 under $100,000",11725," 82,950 "," 1,540 "
"$100,000 under $200,000",11725," 318,139 "," 3,426 "
"$200,000 or more",11725," 327,319 "," 1,038 "
,,,
,11726," 251,146 "," 10,282 "
"Under $10,000",11726, 413 ," 1,747 "
"$10,000 under $25,000",11726," 12,221 "," 2,765 "
"$25,000 under $50,000",11726," 50,378 "," 2,807 "
"$50,000 under $75,000",11726," 48,754 "," 1,345 "
"$75,000 under $100,000",11726," 42,559 ", 781 
"$100,000 under $200,000",11726," 66,368 ", 746 
"$200,000 or more",11726," 30,452 ", 91 
,,,
,11727," 500,046 "," 13,830 "
"Under $10,000",11727, 582 ," 1,834 "
"$10,000 under $25,000",11727," 12,607 "," 2,430 "
"$25,000 under $50,000",11727," 64,296 "," 3,187 "
"$50,000 under $75,000",11727," 87,410 "," 2,324 "
"$75,000 under $100,000",11727," 90,954 "," 1,633 "
"$100,000 under $200,000",11727," 200,086 "," 2,217 "
"$200,000 or more",11727," 44,110 ", 205 
,,,
,11729," 466,431 "," 13,893 "
"Under $10,000",11729, 690 ," 2,239 "
"$10,000 under $25,000",11729," 12,004 "," 2,474 "
"$25,000 under $50,000",11729," 61,692 "," 3,209 "
"$50,000 under $75,000",11729," 78,430 "," 2,147 "
"$75,000 under $100,000",11729," 86,496 "," 1,583 "
"$100,000 under $200,000",11729," 180,619 "," 2,039 "
"$200,000 or more",11729," 46,500 ", 202 
,,,
,11730," 395,085 "," 7,031 "
"Under $10,000",11730, 500 ," 1,146 "
"$10,000 under $25,000",11730," 5,505 "," 1,008 "
"$25,000 under $50,000",11730," 24,317 "," 1,210 "
"$50,000 under $75,000",11730," 37,431 ", 987 
"$75,000 under $100,000",11730," 43,955 ", 804 
"$100,000 under $200,000",11730," 137,698 "," 1,495 "
