Size of Adjusted Gross Income,Zip, Taxable Income ,Number of Returns
"$10,000 under $25,000",10009," 33,083 "," 5,924 "
"$25,000 under $50,000",10009," 183,161 "," 7,675 "
"$50,000 under $75,000",10009," 229,038 "," 4,924 "
"$75,000 under $100,000",10009," 189,713 "," 2,820 "
"$100,000 under $200,000",10009," 381,102 "," 3,491 "
"$200,000 or more",10009," 434,158 "," 1,302 "
,,,
,10010," 2,526,570 "," 17,401 "
"Under $10,000",10010, 501 ," 1,883 "
"$10,000 under $25,000",10010," 12,061 "," 1,818 "
"$25,000 under $50,000",10010," 74,398 "," 2,952 "
"$50,000 under $75,000",10010," 121,903 "," 2,632 "
"$75,000 under $100,000",10010," 122,076 "," 1,833 "
"$100,000 under $200,000",10010," 373,891 "," 3,378 "
"$200,000 or more",10010," 1,821,740 "," 2,905 "
,,,
,10011," 4,474,695 "," 30,434 "
"Under $10,000",10011, 773 ," 3,617 "
"$10,000 under $25,000",10011," 21,387 "," 3,593 "
"$25,000 under $50,000",10011," 115,879 "," 4,866 "
"$50,000 under $75,000",10011," 194,882 "," 4,294 "
"$75,000 under $100,000",10011," 206,551 "," 3,175 "
"$100,000 under $200,000",10011," 614,076 "," 5,711 "
"$200,000 or more",10011," 3,321,148 "," 5,178 "
,,,
,10012," 1,939,158 "," 13,415 "
"Under $10,000",10012, 419 ," 2,039 "
"$10,000 under $25,000",10012," 11,503 "," 1,830 "
"$25,000 under $50,000",10012," 59,996 "," 2,428 "
"$50,000 under $75,000",10012," 83,333 "," 1,808 "
"$75,000 under $100,000",10012," 80,572 "," 1,208 "
"$100,000 under $200,000",10012," 246,444 "," 2,230 "
"$200,000 or more",10012," 1,456,890 "," 1,872 "
,,,
,10013," 3,338,288 "," 15,981 "
"Under $10,000",10013, 636 ," 4,312 "
"$10,000 under $25,000",10013," 10,565 "," 2,694 "
"$25,000 under $50,000",10013," 51,775 "," 2,296 "
"$50,000 under $75,000",10013," 63,755 "," 1,418 "
"$75,000 under $100,000",10013," 60,634 ", 934 
"$100,000 under $200,000",10013," 179,455 "," 1,671 "
"$200,000 or more",10013," 2,971,468 "," 2,656 "
,,,
,10014," 3,184,113 "," 19,374 "
"Under $10,000",10014, 481 ," 2,203 "
"$10,000 under $25,000",10014," 12,834 "," 2,013 "
"$25,000 under $50,000",10014," 76,022 "," 3,064 "
"$50,000 under $75,000",10014," 126,676 "," 2,756 "
"$75,000 under $100,000",10014," 137,670 "," 2,082 "
"$100,000 under $200,000",10014," 424,172 "," 3,841 "
"$200,000 or more",10014," 2,406,257 "," 3,415 "
,,,
,10016," 4,238,679 "," 31,673 "
"Under $10,000",10016, 801 ," 3,488 "
"$10,000 under $25,000",10016," 21,625 "," 3,241 "
"$25,000 under $50,000",10016," 145,521 "," 5,637 "
"$50,000 under $75,000",10016," 230,400 "," 4,953 "
"$75,000 under $100,000",10016," 220,042 "," 3,330 "
"$100,000 under $200,000",10016," 651,520 "," 5,949 "
"$200,000 or more",10016," 2,968,769 "," 5,075 "
,,,
,10017," 2,896,246 "," 15,803 "
"Under $10,000",10017," 1,850 "," 4,055 "
